OBJECTID,Tree cover per capita (m2/person),Green space per capita (m2/person),Percent tree cover,Percent green space,Particulate matter [PM2.5] (kg/yr),Percent particulate matter [PM2.5] removed annually by tree cover
2292,373,744,38,75,237,16.080565254899998
2293,352,777,34,75,229,14.5850484099
2294,554,1269,33,77,204,14.5073190706
2295,336,770,29,67,130,12.7234370949
2296,239,698,24,72,109,10.8471273597
2297,922,1187,64,82,244,25.593007807200003
2298,401,556,54,75,104,22.0649797491
2299,117,162,44,60,71,18.296606055999998
2300,415,697,42,70,138,17.578079001400003
2301,338,498,49,72,112,20.2454792202
2302,1136,1555,59,81,303,23.9182427164
2303,282,500,39,70,94,16.5990073621
2304,398,831,36,75,87,15.2202374838
2305,358,721,35,71,153,14.9073106835
2306,333,620,37,69,88,15.6506554046
2307,251,446,38,68,107,16.2074286254
2308,135,243,35,63,51,14.971309304300002
2309,318,519,43,70,139,18.0641317348
2310,118,254,26,57,66,11.448962282
2311,207,523,30,77,96,13.1542206446
2312,66,128,17,34,15,7.86790314467
2313,164,293,32,57,52,13.6714064036
2314,137,206,43,64,52,18.0616846114
2315,86,163,24,46,24,10.6133528742
2316,367,566,49,76,114,20.298412659
2317,139,239,37,64,57,15.8071829275
2318,70,150,18,39,16,8.22115982239
2319,67,140,24,50,24,10.4939147891
2320,82,149,29,53,35,12.6155940346
2321,76,155,25,52,39,11.1725765734
2322,62,117,21,40,32,9.405849745389999
2323,152,250,39,64,80,16.500002396
2324,129,229,34,62,33,14.773900462200002
2325,94,167,34,61,32,14.7993589485
2326,830,1291,55,85,697,22.4255243929
2327,721,1152,53,85,495,21.784642188
2328,1344,2513,42,78,483,17.605372537900003
2329,4073,9724,26,63,1338,11.5220327785
2341,286,491,33,57,133,14.106704897800002
2342,204,279,52,72,119,21.4403588951
2343,160,280,36,63,48,15.252621529899999
2344,161,259,40,65,61,16.9995262465
2345,122,200,39,63,39,16.3200696427
2346,106,198,32,60,39,13.8463446248
2347,143,269,25,48,30,11.0601878182
2348,146,242,35,58,41,14.911847172
2349,250,372,42,62,83,17.483776057700002
2350,778,1133,57,83,365,23.0756209378
2351,292,461,46,72,189,18.9231491592
2352,108,297,22,62,61,9.895196831489999
2353,75,166,24,54,29,10.5460405053
2354,51,133,18,48,32,8.12137148574
2355,91,189,25,53,42,11.1492248138
2356,155,273,33,58,67,14.1116543894
2357,195,371,33,63,125,14.183776078
2358,185,301,39,64,39,16.4194186697
2359,478,695,50,73,110,20.526494732099998
2360,290,447,43,66,108,17.9511237539
2388,98,192,27,53,56,11.802867918099999
2389,79,149,26,50,39,11.5838806171
2390,83,160,27,54,35,11.9862301041
2391,139,219,41,64,33,17.1342502193
2392,155,248,40,64,90,16.874007764
2393,268,570,22,46,31,9.59848372655
2394,140,258,32,59,37,13.6711661631
2395,95,193,19,40,41,8.71150075447
2396,52,113,19,42,25,8.479818216630001
2397,120,232,31,61,63,13.468158918699999
2398,58,122,29,61,54,12.4922420842
2399,114,220,34,65,34,14.513169813100003
2400,129,303,22,52,35,9.72251560815
2401,135,270,32,64,57,13.8475102844
2402,79,271,16,57,18,7.361326956160001
2403,340,962,18,51,244,8.06791700679
2404,63,139,20,44,53,8.915228859230002
2405,169,508,19,57,63,8.38648682933
2406,68,232,17,59,17,7.722947486710001
2407,85,287,17,58,57,7.618953875239999
2408,215,657,18,55,154,8.03537906297
2409,74,283,14,53,18,6.22562978072
2440,700,1758,24,60,409,10.42126328
2441,1046,1649,46,73,463,19.0864671761
2442,3245,6839,31,65,919,13.3466582944
2443,2573,4290,53,88,1256,21.840282552599998
2444,203,712,10,36,79,4.71129880728
2445,1087,3466,24,79,507,10.726738268
2446,4535,6591,59,85,3910,23.9936259573
2450,335,616,34,63,111,14.576968577099999
2451,1019,1989,41,81,425,17.4478059899
