Date, AQI_Value,Main_Pollutant,Site_Name,Site_ID,Source
8/24/2019,89,SO2,Yankee,39-017-0020,AQS
8/25/2019,41,PM2.5,Yankee,39-017-0020,AQS
8/26/2019,28,PM2.5,Cincinnati Near Road,39-061-0048,AQS
8/27/2019,33,PM2.5,Cincinnati Near Road,39-061-0048,AQS
8/28/2019,41,Ozone,Batavia,39-025-0022,AQS
8/29/2019,46,Ozone,Batavia,39-025-0022,AQS
8/30/2019,54,PM2.5,Cincinnati Near Road,39-061-0048,AQS
8/31/2019,55,PM2.5,Yankee,39-017-0020,AQS
9/1/2019,56,PM2.5,Cincinnati Near Road,39-061-0048,AQS
9/2/2019,52,PM2.5,Cincinnati Near Road,39-061-0048,AQS
9/3/2019,56,PM2.5,Yankee,39-017-0020,AQS
9/4/2019,47,PM2.5,Cincinnati Near Road,39-061-0048,AQS
9/5/2019,45,Ozone,Taft NCore,39-061-0040,AQS
9/6/2019,54,PM2.5,Cincinnati Near Road,39-061-0048,AQS
9/7/2019,37,PM2.5,Cincinnati Near Road,39-061-0048,AQS
9/8/2019,51,PM2.5,Taft NCore,39-061-0040,AQS
9/9/2019,67,Ozone,Crawford Woods,39-017-0023,AQS
9/10/2019,101,Ozone,Sycamore,39-061-0006,AQS
9/11/2019,87,Ozone,Batavia,39-025-0022,AQS
